open_covid_region_code,date,hospitalized_new
US-NM,2021-03-08,76.0
US-NY,2020-08-03,0.0
US-NY,2020-08-10,0.0
US-NY,2020-08-17,2354.0
US-NY,2020-08-24,10341.0
US-NY,2020-08-31,19598.0
US-NY,2020-09-07,18626.0
US-NY,2020-09-14,13631.0
US-NY,2020-09-21,8990.0
US-NY,2020-09-28,6228.0
US-NY,2020-10-05,3993.0
US-NY,2020-10-12,2814.0
US-NY,2020-10-19,1749.0
US-NY,2020-10-26,1266.0
US-NY,2020-11-02,405.0
US-NY,2020-11-09,0.0
US-NY,2020-11-16,0.0
US-NY,2020-11-23,0.0
US-NY,2020-11-30,0.0
US-NY,2020-12-07,0.0
US-NY,2020-12-14,0.0
US-NY,2020-12-21,0.0
US-NY,2020-12-28,0.0
US-NY,2021-01-04,0.0
US-NY,2021-01-11,0.0
US-NY,2021-01-18,0.0
US-NY,2021-01-25,0.0
US-NY,2021-02-01,0.0
US-NY,2021-02-08,0.0
US-NY,2021-02-15,0.0
US-NY,2021-02-22,0.0
US-NY,2021-03-01,0.0
US-NY,2021-03-08,0.0
US-OH,2020-08-03,0.0
US-OH,2020-08-10,0.0
US-OH,2020-08-17,83.0
US-OH,2020-08-24,320.0
US-OH,2020-08-31,701.0
US-OH,2020-09-07,844.0
US-OH,2020-09-14,617.0
US-OH,2020-09-21,613.0
US-OH,2020-09-28,591.0
US-OH,2020-10-05,582.0
US-OH,2020-10-12,570.0
US-OH,2020-10-19,555.0
US-OH,2020-10-26,573.0
US-OH,2020-11-02,448.0
US-OH,2020-11-09,398.0
US-OH,2020-11-16,347.0
US-OH,2020-11-23,439.0
US-OH,2020-11-30,491.0
US-OH,2020-12-07,670.0
US-OH,2020-12-14,713.0
US-OH,2020-12-21,644.0
US-OH,2020-12-28,701.0
US-OH,2021-01-04,665.0
US-OH,2021-01-11,671.0
US-OH,2021-01-18,564.0
US-OH,2021-01-25,517.0
US-OH,2021-02-01,524.0
US-OH,2021-02-08,473.0
US-OH,2021-02-15,459.0
US-OH,2021-02-22,443.0
US-OH,2021-03-01,551.0
US-OH,2021-03-08,433.0
US-OK,2020-08-03,0.0
US-OK,2020-08-10,0.0
US-OK,2020-08-17,11.0
US-OK,2020-08-24,129.0
US-OK,2020-08-31,190.0
US-OK,2020-09-07,116.0
US-OK,2020-09-14,95.0
US-OK,2020-09-21,112.0
US-OK,2020-09-28,90.0
US-OK,2020-10-05,83.0
US-OK,2020-10-12,54.0
US-OK,2020-10-19,58.0
US-OK,2020-10-26,47.0
US-OK,2020-11-02,41.0
US-OK,2020-11-09,90.0
US-OK,2020-11-16,127.0
US-OK,2020-11-23,213.0
US-OK,2020-11-30,229.0
US-OK,2020-12-07,347.0
US-OK,2020-12-14,356.0
US-OK,2020-12-21,447.0
US-OK,2020-12-28,406.0
US-OK,2021-01-04,364.0
US-OK,2021-01-11,408.0
US-OK,2021-01-18,409.0
US-OK,2021-01-25,392.0
US-OK,2021-02-01,291.0
US-OK,2021-02-08,346.0
US-OK,2021-02-15,392.0
US-OK,2021-02-22,409.0
US-OK,2021-03-01,318.0
US-OK,2021-03-08,452.0
US-OR,2020-08-03,0.0
US-OR,2020-08-10,0.0
US-OR,2020-08-17,43.0
US-OR,2020-08-24,86.0
US-OR,2020-08-31,129.0
US-OR,2020-09-07,101.0
US-OR,2020-09-14,97.0
US-OR,2020-09-21,90.0
US-OR,2020-09-28,52.0
US-OR,2020-10-05,72.0
US-OR,2020-10-12,33.0
US-OR,2020-10-19,39.0
US-OR,2020-10-26,44.0
US-OR,2020-11-02,33.0
US-OR,2020-11-09,56.0
US-OR,2020-11-16,71.0
US-OR,2020-11-23,76.0
US-OR,2020-11-30,47.0
US-OR,2020-12-07,111.0
US-OR,2020-12-14,147.0
US-OR,2020-12-21,147.0
US-OR,2020-12-28,133.0
US-OR,2021-01-04,151.0
US-OR,2021-01-11,105.0
US-OR,2021-01-18,121.0
US-OR,2021-01-25,124.0
US-OR,2021-02-01,53.0
US-OR,2021-02-08,74.0
US-OR,2021-02-15,121.0
US-OR,2021-02-22,140.0
US-OR,2021-03-01,122.0
US-OR,2021-03-08,87.0
US-PA,2020-08-03,0.0
US-PA,2020-08-10,0.0
US-PA,2020-08-17,0.0
US-PA,2020-08-24,353.0
US-PA,2020-08-31,719.0
US-PA,2020-09-07,-1072.0
US-PA,2020-09-14,0.0
US-PA,2020-09-21,0.0
US-PA,2020-09-28,0.0
US-PA,2020-10-05,0.0
US-PA,2020-10-12,0.0
US-PA,2020-10-19,0.0
US-PA,2020-10-26,0.0
US-PA,2020-11-02,0.0
US-PA,2020-11-09,0.0
US-PA,2020-11-16,0.0
US-PA,2020-11-23,0.0
US-PA,2020-11-30,0.0
US-PA,2020-12-07,0.0
US-PA,2020-12-14,0.0
US-PA,2020-12-21,0.0
US-PA,2020-12-28,0.0
US-PA,2021-01-04,0.0
US-PA,2021-01-11,0.0
US-PA,2021-01-18,0.0
US-PA,2021-01-25,0.0
US-PA,2021-02-01,0.0
US-PA,2021-02-08,0.0
US-PA,2021-02-15,0.0
US-PA,2021-02-22,0.0
US-PA,2021-03-01,0.0
US-PA,2021-03-08,0.0
US-RI,2020-07-27,0.0
US-RI,2020-08-03,0.0
US-RI,2020-08-10,0.0
